benchmark,frequency_MHz,avg_time_ms,avg_power_W
matmul,405,46.2070,23.0030
stereo,405,89.3870,39.4680
quasirand,405,39.7250,43.3920
hotspot,405,32.4100,53.8860
histogram,405,70.7440,59.2700
particlefilter,405,243.1820,42.8440
matmul,465,40.2890,39.0590
stereo,465,77.8420,45.5130
quasirand,465,38.4490,48.0270
hotspot,465,28.3720,52.7900
histogram,465,61.5590,60.0710
particlefilter,465,211.2680,45.0680
matmul,525,35.9090,39.9960
stereo,525,68.9880,44.9390
quasirand,525,37.5700,50.4850
hotspot,525,25.3350,54.6260
histogram,525,54.5770,59.7540
particlefilter,525,187.4480,47.0490
matmul,600,31.4650,39.3790
stereo,600,60.1850,43.6610
quasirand,600,36.7310,51.7370
hotspot,600,22.2740,55.2420
histogram,600,47.7710,59.3620
particlefilter,600,163.9730,49.9410
matmul,660,28.8110,38.6710
stereo,660,54.7450,44.0880
quasirand,660,36.2430,51.7710
hotspot,660,20.2530,53.8030
histogram,660,43.4750,59.3690
particlefilter,660,149.0080,51.6600
matmul,735,26.1360,39.8420
stereo,735,49.1890,42.1100
quasirand,735,35.7070,50.6230
hotspot,735,18.3290,52.3920
histogram,735,38.9710,59.9330
particlefilter,735,134.4230,54.3950
matmul,795,24.1740,39.1670
stereo,795,45.4850,41.6310
quasirand,795,35.3700,50.4510
hotspot,795,17.0600,51.4670
histogram,795,35.9480,60.5240
particlefilter,795,124.2780,56.3100
matmul,855,22.6940,40.6360
stereo,855,42.2050,42.3550
quasirand,855,35.0050,52.7300
hotspot,855,15.9880,57.6360
histogram,855,35.1130,60.7600
particlefilter,855,116.5330,57.1910
matmul,930,21.0000,39.5840
stereo,930,38.8180,40.8090
quasirand,930,34.6850,52.0660
hotspot,930,14.9060,53.7980
histogram,930,34.9390,63.8800
particlefilter,930,107.1800,59.3330
matmul,990,19.8210,39.6340
stereo,990,36.5960,41.3560
quasirand,990,34.6070,52.5690
hotspot,990,14.0480,54.4020
histogram,990,35.0820,64.2250
particlefilter,990,100.4720,60.5100
matmul,1065,18.6590,41.0540
stereo,1065,33.9170,39.4560
quasirand,1065,33.0060,53.7470
hotspot,1065,13.2610,59.9370
histogram,1065,33.3400,61.9690
particlefilter,1065,93.7190,61.5980
matmul,1125,17.6240,41.3320
stereo,1125,32.1110,44.2320
quasirand,1125,31.8280,51.8880
hotspot,1125,12.5140,51.8880
histogram,1125,31.9210,64.9480
particlefilter,1125,88.9010,61.4810
matmul,1200,16.5950,42.6860
stereo,1200,30.1090,41.4020
quasirand,1200,30.2800,51.8360
hotspot,1200,11.7970,62.7010
histogram,1200,29.8260,64.8740
particlefilter,1200,83.3870,62.4160
matmul,1260,16.0100,42.7130
stereo,1260,28.6810,40.3000
quasirand,1260,29.8590,52.0080
hotspot,1260,11.2810,62.4790
histogram,1260,28.4530,64.5730
particlefilter,1260,79.2390,63.5620
matmul,1320,15.2650,44.0920
stereo,1320,27.4810,42.8250
quasirand,1320,29.6970,53.2800
hotspot,1320,10.8290,57.1750
histogram,1320,27.3920,67.5600
particlefilter,1320,75.7950,65.4220
matmul,1395,14.4970,44.5870
stereo,1395,25.9200,47.0220
quasirand,1395,29.1790,54.5550
hotspot,1395,10.3670,55.7530
histogram,1395,25.7810,71.6620
particlefilter,1395,71.6890,72.1800
matmul,1455,14.0130,44.3010
stereo,1455,24.8560,44.3010
quasirand,1455,28.9720,57.8730
hotspot,1455,10.0480,67.7650
histogram,1455,24.6350,67.7650
particlefilter,1455,68.6700,72.8630
matmul,1530,13.3720,47.9440
stereo,1530,23.7190,49.9020
quasirand,1530,28.8050,58.1930
hotspot,1530,9.6650,59.9910
histogram,1530,23.6060,76.2440
particlefilter,1530,65.4640,79.2730
matmul,1590,12.9200,49.7220
stereo,1590,22.8410,45.9550
quasirand,1590,28.6610,62.4390
hotspot,1590,9.3160,64.1070
histogram,1590,22.6630,79.1190
particlefilter,1590,62.9770,79.0040
matmul,1650,12.6300,49.9880
stereo,1650,21.9340,49.9880
quasirand,1650,28.5300,66.1270
hotspot,1650,9.0440,79.3760
histogram,1650,21.8610,79.3760
particlefilter,1650,60.5520,85.0400
matmul,1725,12.0630,53.1130
stereo,1725,21.1010,53.1130
quasirand,1725,28.3360,69.0330
hotspot,1725,8.7270,81.2120
histogram,1725,20.7980,81.2120
particlefilter,1725,57.9100,91.6380
matmul,1785,11.7070,54.5620
stereo,1785,20.4030,54.5620
quasirand,1785,28.2040,72.3220
hotspot,1785,8.5170,85.5320
histogram,1785,20.0550,85.5320
particlefilter,1785,56.0080,94.3830
matmul,1860,11.2740,58.0250
stereo,1860,19.5760,58.0250
quasirand,1860,28.0370,82.6640
hotspot,1860,8.2360,103.6130
histogram,1860,19.3710,103.6130
particlefilter,1860,53.8360,102.9210
matmul,1920,11.0640,62.5600
stereo,1920,19.0970,61.6320
quasirand,1920,27.9700,87.8580
hotspot,1920,8.2100,87.8580
histogram,1920,18.7310,122.4560
particlefilter,1920,52.3830,117.4830
matmul,1995,11.0880,72.8980
stereo,1995,19.0960,73.3570
quasirand,1995,27.9690,87.9700
hotspot,1995,8.1880,88.5110
histogram,1995,18.7320,116.9520
particlefilter,1995,52.4380,120.2800
