frequency_MHz,avg_time_ms,avg_power_W
405,243.1820,42.8440
465,211.2680,45.0680
525,187.4480,47.0490
600,163.9730,49.9410
660,149.0080,51.6600
735,134.4230,54.3950
795,124.2780,56.3100
855,116.5330,57.1910
930,107.1800,59.3330
990,100.4720,60.5100
1065,93.7190,61.5980
1125,88.9010,61.4810
1200,83.3870,62.4160
1260,79.2390,63.5620
1320,75.7950,65.4220
1395,71.6890,72.1800
1455,68.6700,72.8630
1530,65.4640,79.2730
1590,62.9770,79.0040
1650,60.5520,85.0400
1725,57.9100,91.6380
1785,56.0080,94.3830
1860,53.8360,102.9210
1920,52.3830,117.4830
1995,52.4380,120.2800
